base_symbol,base_address,chain,dex,price_usd,liquidity_usd,fdv,volume_h24,age_hours,price_change_h1,market_score,rugcheck_score_0_100,lp_locked_pct,combined_score,risk_flags,url,scanned_at
2Trucks1Pump,8wYeky27rpLy6Kz63n2chVNGcyaHwdyZkbMD8wRwpump,solana,pumpfun,0.000008069,0,8069.68,85237.38,0.4,65.78,3,72,100,12,liquidez muy baja ($0); Creator history of rugged tokens (danger),https://dexscreener.com/solana/9wjwzgot29qsedly8cqdqphqjdz8mmvd7qpr1s2gqspi,2026-09-17T20:57:45Z
LWAINZ,99FALybwLBsWUWbeyKaFg5SERNmbPuVY616XssnUS5Db,solana,raydium,0.000007736,892.02,6017,579.02,105.8,10.15,3,60,0,11,liquidez muy baja ($892); Top 10 holders high ownership (danger); Single holder ownership (danger); Low Liquidity (danger); High ownership (danger); Mutable metadata (warn),https://dexscreener.com/solana/2tutoa58zj1fqucg18jwmse21e56gjnxzzzzhhm3fvjd,2026-09-17T20:57:27Z
Hima,9R7eHckPHjvJ2yREJD7s1HfX8oGEohr58wAuk4TSpump,solana,pumpswap,0.000007952,5885.19,7753,261488.58,1.4,185,4,51,100,10,"liquidez baja ($5,885); pump vertical con 1.4h de vida (+185% en 1h); High market cap per holder (warn); Low Liquidity (warn)",https://dexscreener.com/solana/e3jhwbbbsvyy8a6kvrw48knevpeeyjstmac7jy7dtcgp,2026-09-17T20:57:43Z
memehouse,DhP29UiDnhCC9T3vTk339bTusrXo7TBeCxJGYT26xubB,solana,pumpswap,0.000004275,3788.84,4270,169588.66,0.5,-89.47,3,53,100,10,"liquidez muy baja ($3,789); High market cap per holder (warn); Low Liquidity (danger)",https://dexscreener.com/solana/2xwzzgnkdh5hghlyry3d3fmaxr4gnkkqcdpgwzuajzwk,2026-09-17T20:57:50Z
BLVINU,6dAo1eJMfaktGsi4s3wte8SJAYGLm2rRfJLntyLTSRNN,solana,raydium,0.00002774,14047.15,27742,88278.87,11.4,117,4,50,99.99999999852142,10,"liquidez baja ($14,047); pump vertical con 11.4h de vida (+117% en 1h); High market cap per holder (warn)",https://dexscreener.com/solana/hsyideymzgmqeek1xsx8xobdng9pfy32kc5pgnteqxf9,2026-09-17T20:57:52Z
SAT,CYauAxCiTrrT49Yt8BS9xEACf4ewuAk5PyG4TL3tpump,solana,pumpswap,0.000003160,2979.12,3160,141643.25,0.8,-92.42,3,53,100,10,"liquidez muy baja ($2,979); High market cap per holder (warn); Low Liquidity (danger)",https://dexscreener.com/solana/2s2vkzvbipbms4dmxr8icdy92sskjy2cdvvvrkwjtzze,2026-09-17T20:57:55Z
MPGA,54GgGZT2yrnuGEceLavia8wfDUtm5LLFJ9K9ESpApump,solana,pumpfun,0.000002860,0,2860.52,53250.65,0.8,-16.83,3,45,100,9,liquidez muy baja ($0); Creator history of rugged tokens (danger),https://dexscreener.com/solana/yvhdzs9pewwnvjanpsrrfjnb7szikxtysewg8dua17u,2026-09-17T20:57:31Z
SLABSY,DP6tmrQK996peAtwZVQZax2dxR3FXVRVZoABrfMVpump,solana,pumpswap,0.00004943,19163.27,49066,21675.12,1809.7,-2.3,1,45,99.99553098300873,7,"liquidez baja ($19,163); Creator history of rugged tokens (danger)",https://dexscreener.com/solana/4oufp97zcrtxv2tbvqdrv5vg75adazjdcfqepkczvnfe,2026-09-17T20:57:37Z
LAMA,2fWzx35rQMAATQGhJzVTvzeXHcenCQLqCog9Jkg5pump,solana,pumpswap,0.00007636,25548.11,74219,60131.7,138.0,-19.08,0,55,99.99613664807629,7,Creator history of rugged tokens (danger),https://dexscreener.com/solana/cxkwgui737v9edzkltu5aehqnwx4kntnn3ggqt9tf6wk,2026-09-17T20:57:39Z
EGOD,2roJPefsSF4zucVFUmD5XcpSHhXuQHN7ySC8CcqeFKD2,solana,raydium,0.00004539,17976.99,45396,14263.16,0.5,5.33,1,50,99.87170250980624,7,"liquidez baja ($17,977); High market cap per holder (warn)",https://dexscreener.com/solana/cmpuv2rvtvavjozok29tsjwaduwje12af6xys8dqcjzm,2026-09-17T20:57:48Z
FLOW,3M1kURavgnF4WnDNjiyCWUh7nu2S5rkoQk9WY2kS4uaz,solana,raydium,0.00005662,20778.45,56626,94708.37,0.5,40.06,0,50,99.8645878420716,6,High market cap per holder (warn),https://dexscreener.com/solana/awtj3pnehk3yeschsximlnqcsyufhscbmahktgckzzog,2026-09-17T20:57:26Z
XCHAN,5bCrnEgVDx4DRjdpgBY5eLFdiS72FpjVmGhSxBDhpump,solana,pumpswap,0.0001793,35751.18,177095,898034.73,2.0,-8.79,0,50,100,6,High market cap per holder (warn),https://dexscreener.com/solana/2wvqrsdrydcwbhthhncg7rxlvuraqkzz4tn9mjtbq9vf,2026-09-17T20:57:33Z
SOLDOG,57dbhJBNR4MPqQdgkK5S1WXesCERvgB2VqAAdFkPpump,solana,pumpswap,0.0001678,34530.82,164400,879374.2,1.1,56.39,0,50,100,6,High market cap per holder (warn),https://dexscreener.com/solana/5y7trjbgjsaorewpbulwnstvcc6sucibujkj4vy3znkx,2026-09-17T20:57:34Z
PAIDCAT,9n8rBV1L917EUSVDa9KTX2uMxvPfKZxLLtwKnYs8pump,solana,pumpswap,0.0002096,39778.26,206979,1279399.91,3.3,-19.07,0,50,99.69268380749783,6,High market cap per holder (warn),https://dexscreener.com/solana/83x1pyfkuh2qeakzeyeakw5nhjiskffvqvutgeqe2iad,2026-09-17T20:57:40Z
CATINU,5Kg7SBWfoqpj57Mkd8VsNM1ZaoLxn96MnyxFjpqppump,solana,pumpfun,0.00001402,0,14021.87,42524.8,0.3,229,6,1,100,6,liquidez muy baja ($0); pump vertical con 0.3h de vida (+229% en 1h),https://dexscreener.com/solana/dhx5va7jjgfpxyhhvj4xwacsz8drp8z7thkyf9zu1zpm,2026-09-17T20:57:42Z
404INU,ECt8tGM5x2aCJSUVTrUW1VboCZSnUahS5Qswp2BeiomR,solana,raydium,0.00006807,22599.05,68078,67056.69,0.4,67.99,0,50,100,6,High market cap per holder (warn),https://dexscreener.com/solana/5keakylvkstgapxqujzwrkdhuccbps5lofvi6npcthnl,2026-09-17T20:57:44Z
SeedSigner,4xyW24Yo348biFjQWZtGUEAhYG1HNvZQM6fx7vq2Xouj,solana,pumpfun,0.000008297,0,8297.21,31670.77,0.8,116,6,1,100,6,liquidez muy baja ($0); pump vertical con 0.8h de vida (+116% en 1h),https://dexscreener.com/solana/hzvjpo33xqxuspec7lyu7dyfdkfyhfkfk8lr53u1h43a,2026-09-17T20:57:53Z
POOMA,bJ657bKapGpwtfv4vQSqBv4EMmZgVDFgR1kE3PQpump,solana,pumpfun,0.000003282,0,3282.66,48657.53,0.7,-3.85,3,1,0,3,liquidez muy baja ($0),https://dexscreener.com/solana/6minel4ddnpdvyvepzah3hxcwlci1vrut6qryxtbj4ib,2026-09-17T20:57:51Z
PIMSY,3QgWjdJotLBfjqREYvc8xbQbPu6DwKTcaC8BAETUnpBa,solana,pumpfun,0.000003638,0,3638.92,43610.04,0.8,-61.72,3,1,100,3,liquidez muy baja ($0),https://dexscreener.com/solana/6tkq7wvbyrniqytbhwlfepfkhrkgx1gwadafjhki8fao,2026-09-17T20:57:51Z
Garry,5FeMuXkgniyk52Hoa39yh5wPbNvmqG7XVGjJUPGgpump,solana,pumpfun,0.000003142,0,3142.15,75504.76,0.8,-59.61,3,1,100,3,liquidez muy baja ($0),https://dexscreener.com/solana/7o1th3pjxsuuujgd4fknkkrgnzr5d914phjiz1kdmne9,2026-09-17T20:57:54Z
Hakes,3Jv1aPhXrGbNiZpgb1w66EnrVZAvfD3HZfthsGhQpump,solana,pumpswap,0.00001768,10271.2,17087,2478.43,521.4,26.37,1,1,100,1,"liquidez baja ($10,271)",https://dexscreener.com/solana/6xxsbxodzy2klv8bqpskebkgadvvncftewcfnytfc2oz,2026-09-17T20:57:30Z
DEGS,8HKQfbm1Unb4aLcgrXCvP2DBLfk2wtcJ2AtR7grzpcvg,solana,raydium,0.0001431,16540.45,143170,15900.45,788.6,-1.25,1,1,60.25375878571406,1,"liquidez baja ($16,540)",https://dexscreener.com/solana/g69tw3836i8od2m5vsb4g1qpr5gnok73oxxwxy4cmqw4,2026-09-17T20:57:36Z
LLD,64MWN63e19qaw2HEecX6btUJSSbWwZgrw74bjFVVpump,solana,pumpswap,0.00005471,19812.09,53019,337.84,5183.5,-1.94,1,1,99.99706909592959,1,"liquidez baja ($19,812)",https://dexscreener.com/solana/h2zmzdvwp1gwh9xf4lrm1bu4xg96sgkwjff5ntiusdhf,2026-09-17T20:57:36Z
SATS,DSgjVUFC6NA59YuxiEDSxgs6zP4jjwSuoYJ3uS7WboeH,solana,raydium,0.0001906,40193.56,190628,180943.92,95.5,-2.31,0,1,99.90082345837162,0,sin señales de riesgo detectadas,https://dexscreener.com/solana/7yszhszqm3pnzzabss3pdebjhmr6bs4cxv4udt3wjfgr,2026-09-17T20:57:28Z
TCAT,BifUDWQFpbTrSxYXBnqCpAVYgcyQGzHzJk2MDmeM2Gyv,solana,raydium,0.0006084,64094.66,608411,42171.34,166.4,-15.99,0,1,99.57456059461296,0,sin señales de riesgo detectadas,https://dexscreener.com/solana/btkfcwbq3t16sar8pn4hkeuhlv2s7vo65obqvf7eezsz,2026-09-17T20:57:29Z
STEVE,BDYQgba7FVBpqaMyMcLW1ENP81VEYwGfCs6TsC5Fpump,solana,pumpswap,0.00009558,25148.6,92728,52692.96,288.8,-17.58,0,1,100,0,sin señales de riesgo detectadas,https://dexscreener.com/solana/3x8jzuk9gt2mas2rjamushqfeqahybupb4vy1moorjpj,2026-09-17T20:57:32Z
ANT,5EpyCB2dhxpBtm4B7Ff51FguE14WEzPrFTuXbRh86ssD,solana,raydium,0.0001634,34259.36,163452,95797.43,75.8,55.44,0,1,100,0,sin señales de riesgo detectadas,https://dexscreener.com/solana/eeepwco5smoqoryeoxcyuhlr9bwo3hovh1fzfeq8uzjn,2026-09-17T20:57:35Z
$ROKHA,2jbdBWTK2MYpuRsmEDJqETU3UMM2nN3WGtete4HUpump,solana,pumpswap,0.0001241,29085.02,116283,260359.1,417.4,5.37,0,1,100,0,sin señales de riesgo detectadas,https://dexscreener.com/solana/7ozf5bww2yvjgfszgy8acko3hsjjqbpanmxbglztjwjc,2026-09-17T20:57:39Z
BAG,7pBPhnFP39W8WF7Wo5QPDvDR9avQ1me8QAUHqStHapzh,solana,raydium,0.0001643,50571.46,164391,89447.76,129.0,45.31,0,1,0,0,sin señales de riesgo detectadas,https://dexscreener.com/solana/9o6sjtyk4mhstm5bvuvnmpnqtk1rqravbarex2mtatzd,2026-09-17T20:57:41Z
juicelee,DsqWokHaPHi6p9TtkEFryf6qBQFxYkUiGss2sFnBpump,solana,pumpswap,0.00006901,20534.74,69016,81279.87,0.8,64.33,0,1,100,0,sin señales de riesgo detectadas,https://dexscreener.com/solana/d5van4ljtfkiysa5mmeru6xxd5aytxzvrhmkrxgsz1aq,2026-09-17T20:57:47Z
